time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,atr,adx,target,signal,returns,equity
2026-02-18 15:00:00,4943.04,4958.8,4942.93,4957.5,4294,30,0,75.45767377838888,4.606253347360507,1.1773682160721857,3.4288851312883217,4921.7065,4943.67248353423,4899.74051646577,97.52522368170533,93.1238633900666,4921.7065,4919.8462,4928.5386944163865,4923.932441069026,9.359999999999868,,0,1,0.002953731615043864,10028.219672978328
2026-02-18 15:15:00,4957.62,4959.24,4952.45,4956.09,3379,30,0,77.51696832579145,6.462874342545547,2.2344694413668584,4.228404901178688,4923.22,4950.019004694692,4896.420995305309,94.05323768170723,93.83739038654352,4923.22,4921.4758,4932.7773568138655,4926.31448247132,9.41785714285704,,0,1,-0.0002844175491678591,10025.37549748665
2026-02-18 15:30:00,4956.08,4969.03,4952.21,4955.88,4581,30,0,76.34708559682832,7.827088804954656,3.352993314084418,4.474095490870237,4924.959000000001,4955.4396595452,4894.478340454802,79.04716379859819,90.20854172067025,4924.959000000001,4922.8612,4936.331609611732,4928.504520806778,10.074285714285582,,0,1,-4.237211188662382e-05,10024.951776367783
2026-02-18 15:45:00,4955.89,4956.6,4948.94,4954.25,3193,30,0,74.03015663885178,8.676691716473215,4.417732994562178,4.2589587219110365,4926.819,4959.712140478236,4893.925859521765,76.44996813256866,83.1834565376247,4926.819,4924.2066,4939.088285056081,4930.411593339608,10.156428571428544,,1,1,-0.0003289022333067271,10021.662754034714
2026-02-18 16:00:00,4954.32,4961.02,4952.21,4958.32,3453,37,0,86.85423621045885,9.5681277102085,5.447811937691443,4.120315772517057,4928.904,4964.268724261613,4893.539275738388,82.9349904397703,79.47737412364572,4928.904,4925.657200000001,4942.047010432068,4932.47888272186,9.916428571428566,,1,1,0.0008215168794469818,10029.877922829184
2026-02-18 16:15:00,4958.41,4963.45,4955.25,4960.65,3290,30,0,86.84168655528975,10.343376677265042,6.426924885606163,3.9164517916588784,4930.875999999999,4968.744158767171,4893.007841232828,86.64754620777532,82.01083492670476,4930.875999999999,4927.0724,4944.909008827135,4934.56563214987,10.049285714285686,,1,1,0.00046991723002953734,10034.57709512948
2026-02-18 16:30:00,4960.62,4986.08,4955.44,4981.65,7969,30,0,89.99273959341674,12.508105905843877,7.643161089653708,4.864944816190169,4933.933,4977.691014050902,4890.174985949098,94.44931712817902,88.01061792524155,4933.933,4928.7354,4950.561469007575,4938.0533631017315,11.957142857142896,,1,1,0.004233316198481996,10076.910257114301
2026-02-18 16:45:00,4981.64,4994.22,4980.31,4991.66,6973,30,0,91.3994800693236,14.86009483529142,9.086547838781252,5.773546996510168,4937.6575,4987.645073982205,4887.669926017796,97.08925525866924,92.72870619820787,4937.6575,4930.5522,4956.884319929487,4942.024225094196,12.73928571428574,,1,1,0.0020093744040630135,10097.004001154932
2026-02-18 17:00:00,4991.4,5007.99,4991.36,5003.87,5965,30,0,96.10945273631856,17.507492488445678,10.770736768714139,6.736755719731539,4941.8515,4999.139801836966,4884.563198163033,95.9496657491153,95.82941271198786,4941.8515,4932.5318,4964.112886094182,4946.605393605736,13.53000000000007,,1,1,0.002446080061542677,10121.464801770358
2026-02-18 17:15:00,5003.91,5008.82,5000.3,5004.51,3874,30,0,96.06798069187462,19.433202986062497,12.503230012183812,6.9299729738786855,4946.005999999999,5008.838616873348,4883.173383126651,95.55073810261227,96.19655303679895,4946.005999999999,4934.5186,4970.3278266950765,4950.894623709014,13.450000000000077,,0,1,0.0001279010046224549,10122.743811816583
2026-02-18 17:30:00,5004.47,5004.96,4997.22,5000.17,4875,35,0,91.3148752500263,20.37427869802923,14.077439749352896,6.296838948676333,4950.4169999999995,5015.528230529361,4885.305769470638,90.49972542559065,94.00004309243941,4950.4169999999995,4936.2716,4974.91893028045,4954.544651582421,12.99785714285716,,0,1,-0.0008672177695718819,10114.071634120863
2026-02-18 17:45:00,5000.22,5000.38,4994.87,4997.92,3595,30,0,89.81155518740924,20.699916037056937,15.401935006893705,5.297981030163232,4954.5960000000005,5020.679197768901,4888.5128022311,88.02855573860546,91.35967308893613,4954.5960000000005,4937.8454,4978.45755639115,4957.757640354093,12.800000000000052,,1,1,-0.00044998470052015627,10109.571787115663
2026-02-18 18:00:00,4997.94,5003.04,4996.67,4999.44,3565,30,0,89.08122503328877,20.84040208858005,16.489628423230975,4.350773665349074,4958.7905,5025.08762305416,4892.49337694584,88.37093974708637,88.9664069704275,4958.7905,4939.4622,4981.685624638666,4960.845222550086,12.310000000000075,,0,1,0.00030412651663080936,10112.613052281971
